temperature,humidity,mq6_gas,mq7_gas,label,is_anomaly
28.3,62,265,1,Safe,0
28.5,61,278,1,Safe,0
28.7,60,290,1,Safe,0
28.9,59,305,1,Safe,0
29.0,58,315,1,Safe,0
28.8,60,300,1,Safe,0
29.2,57,325,1,Safe,0
29.4,56,340,1,Safe,0
29.6,55,355,1,Warning,1
29.8,54,365,1,Warning,1
30.0,53,375,1,Warning,1
30.2,52,385,1,Warning,1
30.4,51,395,1,Warning,1
30.6,50,405,1,Warning,1
30.8,49,415,1,Warning,1
31.0,48,425,1,Warning,1
31.2,47,435,1,Warning,1
31.4,46,445,1,Warning,1
31.6,45,455,1,Danger,1
31.8,44,465,1,Danger,1
32.0,43,480,0,Danger,1
32.2,42,490,0,Danger,1
32.4,41,505,0,Danger,1
32.6,40,515,0,Danger,1
32.8,39,525,0,Danger,1
33.0,38,540,0,Danger,1
33.2,37,555,0,Danger,1
33.4,36,565,0,Danger,1
33.6,35,575,0,Danger,1
33.8,34,590,0,Danger,1
34.0,33,600,0,Danger,1
28.2,63,255,1,Safe,0
28.4,62,270,1,Safe,0
28.6,61,285,1,Safe,0
28.8,60,300,1,Safe,0
29.0,59,315,1,Safe,0
29.2,58,330,1,Safe,0
29.4,57,345,1,Safe,0
29.6,56,355,1,Warning,1
29.8,55,365,1,Warning,1
30.0,54,375,1,Warning,1
30.2,53,385,1,Warning,1
30.4,52,395,1,Warning,1
30.6,51,405,1,Warning,1
30.8,50,415,1,Warning,1
31.0,49,425,1,Warning,1
31.2,48,435,1,Warning,1
31.4,47,445,1,Warning,1
31.6,46,455,1,Danger,1
31.8,45,470,0,Danger,1
32.0,44,480,0,Danger,1
32.2,43,495,0,Danger,1
32.4,42,505,0,Danger,1
32.6,41,520,0,Danger,1
32.8,40,530,0,Danger,1
33.0,39,545,0,Danger,1
33.2,38,560,0,Danger,1
33.4,37,575,0,Danger,1
33.6,36,585,0,Danger,1
33.8,35,595,0,Danger,1
34.0,34,600,0,Danger,1
28.3,62,260,1,Safe,0
28.5,61,275,1,Safe,0
28.7,60,290,1,Safe,0
28.9,59,305,1,Safe,0
29.1,58,320,1,Safe,0
29.3,57,335,1,Safe,0
29.5,56,350,1,Safe,0
29.7,55,365,1,Warning,1
29.9,54,380,1,Warning,1
30.1,53,395,1,Warning,1
30.3,52,410,1,Warning,1
30.5,51,425,1,Warning,1
30.7,50,440,1,Warning,1
30.9,49,455,1,Danger,1
31.1,48,470,0,Danger,1
31.3,47,485,0,Danger,1
31.5,46,500,0,Danger,1
31.7,45,515,0,Danger,1
31.9,44,530,0,Danger,1
32.1,43,545,0,Danger,1
32.3,42,560,0,Danger,1
32.5,41,575,0,Danger,1
32.7,40,590,0,Danger,1
32.9,39,600,0,Danger,1
